SRA.Study.ID,Sample.ID,Medium,Perturbed.Gene,Gene.Function,KEGG.Pathway,Strain,StudyInGeo,GSEID
PRJNA702527,"SRX10121832, SRX10121833, SRX10121834, SRX10121835, SRX10121836, SRX10121837",MMP,PA0428,(RefSeq) ATP-dependent RNA helicase,RNA degradation,PAO1,Y,GSE166986
PRJNA702527,"SRX10121830, SRX10121831",MMP,None,NA,NA,PAO1,Y,GSE166986
PRJNA703381,"SRX10142057, SRX10142058, SRX10142059",LB,PA3458,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE167147
PRJNA703381,"SRX10142060, SRX10142061, SRX10142062",LB,None,NA,NA,PAO1,Y,GSE167147
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0156,(RefSeq) resistance-nodulation-cell division (RND) efflux membrane fusion protein,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0157,(RefSeq) resistance-nodulation-cell division (RND) efflux membrane fusion protein,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0158,(RefSeq) resistance-nodulation-cell division (RND) efflux transporter,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0425,(RefSeq) multidrug resistance protein MexA,beta-Lactam resistance,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0425,(RefSeq) multidrug resistance protein MexA,Cationic antimicrobial peptide (CAMP) resistance,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0426,(RefSeq) multidrug resistance protein MexB,beta-Lactam resistance,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0426,(RefSeq) multidrug resistance protein MexB,Cationic antimicrobial peptide (CAMP) resistance,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0427,(RefSeq) outer membrane protein OprM,beta-Lactam resistance,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA0427,(RefSeq) outer membrane protein OprM,Quorum sensing,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA2018,(RefSeq) multidrug efflux protein,beta-Lactam resistance,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA2018,(RefSeq) multidrug efflux protein,Two-component system,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA2019,(RefSeq) multidrug efflux lipoprotein,beta-Lactam resistance,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA2019,(RefSeq) multidrug efflux lipoprotein,Two-component system,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA2493,(RefSeq) resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexE,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA2494,(RefSeq) resistance-nodulation-cell division (RND) multidrug efflux transporter MexF,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA2495,(RefSeq) multidrug efflux outer membrane protein OprN,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA3676,(RefSeq) resistance-nodulation-cell division (RND) efflux transporter,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA3677,(RefSeq) resistance-nodulation-cell division (RND) efflux membrane fusion protein,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA3678,(RefSeq) transcriptional regulator,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA4597,(RefSeq) multidrug efflux outer membrane protein OprJ,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA4598,(RefSeq) resistance-nodulation-cell division (RND) multidrug efflux transporter MexD,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356867, SRX10356868, SRX10356871, SRX10356872",LB,PA4599,(RefSeq) resistance-nodulation-cell division (RND) multidrug efflux membrane fusion protein MexC,NA,PAO1,Y,GSE169036
PRJNA714944,"SRX10356865, SRX10356866, SRX10356869, SRX10356870",LB,None,NA,NA,PAO1,Y,GSE169036
PRJNA742417,"SRX11308025, SRX11308027, SRX11308029",LB,PA2504,(RefSeq) hypothetical protein,NA,PAO1,Y,GSE179150
PRJNA742417,"SRX11308031, SRX11308033, SRX11308035",LB,None,NA,NA,PAO1,Y,GSE179150
PRJNA751621,"SRX11632658, SRX11632659, SRX11632660, SRX11632661",M9 Media,None,NA,NA,PAO1,Y,GSE181354
PRJNA638918,"SRX8531965, SRX8531966, SRX8531967, SRX8531968, SRX8531969, SRX8531970, SRX8531971, SRX8531972, SRX8531973, SRX8531974, SRX8531975, SRX8531976, SRX8531977, SRX8531978, SRX8531979, SRX8531980, SRX8531981, SRX8531982, SRX8531983, SRX8531984, SRX8531985, SRX8531986, SRX8531987, SRX8531988, SRX8531989, SRX8531990, SRX8531991, SRX8531992, SRX8531993, SRX8531994, SRX8531995, SRX8531996, SRX8531997, SRX8531998, SRX8531999, SRX8532000",M9 Media,None,NA,NA,PAO1,Y,GSE152295
PRJNA563341,"SRX6790151, SRX6790152, SRX6790153, SRX6790154, SRX6790155, SRX6790156",LB,None,NA,NA,PAO1,Y,GSE136726
PRJNA639519,"SRX8548635, SRX8548636, SRX8548637, SRX8548638, SRX8548639, SRX8548640",Other,None,NA,NA,PAO1,Y,GSE152485
PRJNA662513,"SRX9099454, SRX9099455, SRX9099456, SRX9099457, SRX9099458, SRX9099459, SRX9099460, SRX9099461, SRX9099462, SRX9099463, SRX9099464, SRX9099465, SRX9099466, SRX9099467, SRX9099468, SRX9099469, SRX9099470, SRX9099471, SRX9099472, SRX9099473, SRX9099474, SRX9099475",LB,None,NA,NA,PAO1,Y,GSE157708
PRJNA662513,"SRX9099476, SRX9099477, SRX9099478, SRX9099479, SRX9099480, SRX9099481, SRX9099482, SRX9099483, SRX9099484, SRX9099485, SRX9099486, SRX9099487, SRX9099488, SRX9099489, SRX9099490, SRX9099491, SRX9099492, SRX9099493, SRX9099494, SRX9099495, SRX9099496, SRX9099497",LB,None,NA,NA,PAO1,Y,GSE157708
PRJNA635398,"SRX8406863, SRX8406864, SRX8406865, SRX8406866, SRX8406867, SRX8406868, SRX8406869, SRX8406870, SRX8406871",LB,None,NA,NA,PAO1,Y,GSE151292
PRJNA668371,"SRX9272846, SRX9272847, SRX9272848, SRX9272849, SRX9272850, SRX9272851, SRX9272852, SRX9272853, SRX9272854, SRX9272855, SRX9272856, SRX9272857",LB,None,NA,NA,PAO1,Y,GSE159327
PRJNA635350,"SRX8405308, SRX8405309, SRX8405310, SRX8405311, SRX8405312, SRX8405313, SRX8405314, SRX8405315, SRX8405316, SRX8405317, SRX8405318, SRX8405319, SRX8405320, SRX8405321, SRX8405322, SRX8405323, SRX8405324, SRX8405325",Other,None,NA,NA,PAO1,Y,GSE151259
PRJNA685418,"SRX9686725, SRX9686726, SRX9686727, SRX9686722, SRX9686723, SRX9686724",LB,None,NA,NA,PAO1,Y,GSE163248
PRJNA681237,"SRX9599337, SRX9599338, SRX9599339, SRX9599326, SRX9599327, SRX9599321",LB,None,NA,NA,PAO1,Y,GSE162278
PRJNA681237,"SRX9599340, SRX9599341, SRX9599342, SRX9599343, SRX9599344, SRX9599322, SRX9599323, SRX9599324, SRX9599325, SRX9599328, SRX9599329, SRX9599330, SRX9599331, SRX9599332, SRX9599333, SRX9599334, SRX9599335, SRX9599336",LB,None,NA,NA,PAO1,Y,GSE162278
PRJNA594631,"SRX7299339, SRX7299340, SRX7299341, SRX7299342, SRX7299343, SRX7299344, SRX7299345, SRX7299346, SRX7299347, SRX7299348, SRX7299349, SRX7299350",Other,None,NA,NA,PAO1,Y,GSE141753
PRJNA641380,"SRX8603007, SRX8603008, SRX8603009, SRX8603010",LB,None,NA,NA,PAO1,Y,GSE153067
PRJNA641380,"SRX8603011, SRX8603012, SRX8603013, SRX8603014",LB,None,NA,NA,PAO1,Y,GSE153067
PRJNA672283,"SRX9370085, SRX9370086, SRX9370087, SRX9370088, SRX9370089, SRX9370090, SRX9370091, SRX9370092, SRX9370093, SRX9370094, SRX9370095, SRX9370096, SRX9370097, SRX9370098, SRX9370099, SRX9370100, SRX9370101, SRX9370102, SRX9370103, SRX9370104, SRX9370105, SRX9370106, SRX9370107, SRX9370108, SRX9370109, SRX9370110, SRX9370111, SRX9370112, SRX9370113, SRX9370114, SRX9370115, SRX9370116, SRX9370117, SRX9370118, SRX9370119, SRX9370120, SRX9370121, SRX9370122, SRX9370123, SRX9370124, SRX9370125, SRX9370126, SRX9370127, SRX9370128, SRX9370129, SRX9370130, SRX9370131, SRX9370132, SRX9370133, SRX9370134, SRX9370135, SRX9370136, SRX9370137, SRX9370138, SRX9370139, SRX9370140, SRX9370141, SRX9370142, SRX9370143, SRX9370144, SRX9370145, SRX9370146, SRX9370147, SRX9370148, SRX9370149, SRX9370150, SRX9370151, SRX9370152, SRX9370153, SRX9370154, SRX9370155, SRX9370156, SRX9370157, SRX9370158, SRX9370159, SRX9370160, SRX9370161, SRX9370162, SRX9370163, SRX9370164, SRX9370165, SRX9370166, SRX9370167, SRX9370168, SRX9370169, SRX9370170, SRX9370171, SRX9370172, SRX9370173, SRX9370174, SRX9370175, SRX9370176, SRX9370177, SRX9370178, SRX9370179, SRX9370180, SRX9370181, SRX9370182, SRX9370183, SRX9370184, SRX9370185, SRX9370186, SRX9370187, SRX9370188, SRX9370189, SRX9370190, SRX9370191, SRX9370192, SRX9370193, SRX9370194, SRX9370195, SRX9370196, SRX9370197, SRX9370198, SRX9370199, SRX9370200, SRX9370201, SRX9370202, SRX9370203, SRX9370204",Other,None,NA,NA,PAO1,Y,GSE160190
PRJNA672286,"SRX9370085, SRX9370086, SRX9370087, SRX9370088, SRX9370089, SRX9370090, SRX9370091, SRX9370092, SRX9370093, SRX9370094, SRX9370095, SRX9370096, SRX9370097, SRX9370098, SRX9370099, SRX9370100, SRX9370101, SRX9370102, SRX9370103, SRX9370104, SRX9370105, SRX9370106, SRX9370107, SRX9370108, SRX9370109, SRX9370110, SRX9370111, SRX9370112, SRX9370113, SRX9370114, SRX9370115, SRX9370116, SRX9370117, SRX9370118, SRX9370119, SRX9370120, SRX9370121, SRX9370122, SRX9370123, SRX9370124, SRX9370125, SRX9370126, SRX9370127, SRX9370128, SRX9370129, SRX9370130, SRX9370131, SRX9370132, SRX9370133, SRX9370134, SRX9370135, SRX9370136, SRX9370137, SRX9370138, SRX9370139, SRX9370140, SRX9370141, SRX9370142, SRX9370143, SRX9370144",Other,None,NA,NA,PAO1,Y,GSE160187
PRJNA579069,"SRX7044146, SRX7044147, SRX7044148, SRX7044149, SRX7044150, SRX7044151, SRX7044152, SRX7044153",M9 Media,None,NA,NA,PAO1,Y,GSE139104
PRJNA528935,"SRX5572468, SRX5572469, SRX5572470",LB,None,NA,NA,PAO1,Y,GSE128811
PRJNA528935,"SRX5572471, SRX5572472, SRX5572473, SRX5572474, SRX5572475, SRX5572476, SRX5572477, SRX5572478, SRX5572479",LB,None,NA,NA,PAO1,Y,GSE128811
PRJNA490563,"SRX8044219, SRX8044220, SRX8044221, SRX8044222, SRX8044223, SRX8044224, SRX8044225, SRX8044226, SRX8044227, SRX8044228, SRX8044229, SRX8044230, SRX8044231, SRX8044232, SRX8044233, SRX8044234, SRX8044235, SRX8044236",LB,None,NA,NA,PAO1,Y,GSE119888
PRJNA643216,"SRX8639785, SRX8639786, SRX8639787, SRX8639788, SRX8639789, SRX8639790, SRX8639791, SRX8639792, SRX8639793, SRX8639794, SRX8639795, SRX8639796, SRX8639797, SRX8639798, SRX8639799, SRX8639800",Tryptic Soy Broth,None,NA,NA,PAO1,Y,GSE153546
PRJNA534259,"SRX5728479, SRX5728480, SRX5728481, SRX5728482",LB,None,NA,NA,PAO1,Y,GSE130190
PRJNA534259,"SRX5728470, SRX5728471, SRX5728472, SRX5728473, SRX5728474, SRX5728475, SRX5728476, SRX5728477, SRX5728478",LB,None,NA,NA,PAO1,Y,GSE130190
PRJNA626622,"SRX8143226, SRX8143227, SRX8143228, SRX8143229",Tryptic Soy Broth,None,NA,NA,PAO1,Y,GSE148955
PRJNA603498,"SRX7640104, SRX7640105, SRX7640106, SRX7640107, SRX7640108, SRX7640109",Other,None,NA,NA,PAO1,Y,GSE144365
PRJNA512099,"SRX5187184, SRX5187185, SRX5187186, SRX5187187, SRX5187188, SRX5187189",Other,None,NA,NA,PAO1,Y,GSE124468
PRJNA565718,"SRX6853208, SRX6853209, SRX6853210, SRX6853211, SRX6853212, SRX6853213, SRX6853214, SRX6853215",LB,None,NA,NA,PAO1,Y,GSE137485
PRJNA561292,"SRX6747255, SRX6747256, SRX6747257, SRX6747258, SRX6747259, SRX6747260, SRX6747261, SRX6747262, SRX6747263, SRX6747264, SRX6747265, SRX6747266, SRX6747267, SRX6747268, SRX6747269",LB,None,NA,NA,PAO1,Y,GSE136097
PRJNA576918,"SRX6976948, SRX6976949, SRX6976950, SRX6976951, SRX6976952, SRX6976953",LB,None,NA,NA,PAO1,Y,GSE138731
PRJNA517074,"SRX5290923, SRX5290924",LB,None,NA,NA,PAO1,Y,GSE125646
PRJNA391260,"SRX2940624, SRX2940625, SRX2940626, SRX2940627, SRX2940628, SRX2940629, SRX2940630, SRX2940631, SRX2940632, SRX2940633, SRX2940634, SRX2940635",LB,None,NA,NA,PAO1,Y,GSE100287
PRJNA494880,"SRX4804439, SRX4804440",Other,None,NA,NA,PAO1,Y,GSE120902
PRJNA504872,"SRX5000017, SRX5000018, SRX5000019, SRX5000020, SRX5000021, SRX5000022, SRX5000023, SRX5000025, SRX5000026, SRX5000027, SRX5000028, SRX5000029, SRX5000030, SRX5000031, SRX5000032, SRX5000033, SRX5000034, SRX5000036",Other,None,NA,NA,PAO1,Y,GSE122391
PRJNA493733,"SRX4774141, SRX4774142, SRX4774143, SRX4774144, SRX4774145, SRX4774146, SRX4774147, SRX4774148",LB,None,NA,NA,PAO1,Y,GSE120602
PRJNA486815,"SRX4579961, SRX4579962, SRX4579963, SRX4579964, SRX4579965, SRX4579966",LB,None,NA,NA,PAO1,Y,GSE118801
PRJNA402082,"SRX3169722, SRX3169723, SRX3169724, SRX3169725, SRX3169726, SRX3169728",LB,None,NA,NA,PAO1,Y,GSE103620
PRJNA449493,"SRX3918611, SRX3918612, SRX3918613, SRX3918614, SRX3918615, SRX3918616, SRX3918617, SRX3918618, SRX3918619, SRX3918620, SRX3918621, SRX3918622",Other,None,NA,NA,PAO1,Y,GSE112911
PRJNA415714,"SRX3324112, SRX3324113, SRX3324114, SRX3324115, SRX3324116, SRX3324117",Other,None,NA,NA,PAO1,Y,GSE106133
PRJNA433924,"SRX856370, SRX856371, SRX856372, SRX856373, SRX856374, SRX856375, SRX856376, SRX856377, SRX856378, SRX856379, SRX856380, SRX856381, SRX856382, SRX856383, SRX856384, SRX856385, SRX856386, SRX856387, SRX856388, SRX856389",LB,None,NA,NA,PAO1,Y,GSE110522
PRJNA430510,"SRX3590829, SRX3590830, SRX3590831, SRX3590832, SRX3590841, SRX3590844, SRX3590846, SRX3590849, SRX3590850, SRX3590851, SRX3590855, SRX3590856, SRX3590857, SRX3590858",LB,None,NA,NA,PAO1,Y,GSE109338
PRJNA430510,"SRX3590833, SRX3590834, SRX3590836, SRX3590837, SRX3590838, SRX3590839, SRX3590840, SRX3590842, SRX3590843, SRX3590845, SRX3590847, SRX3590848, SRX3590852, SRX3590853, SRX3590854",LB,None,NA,NA,PAO1,Y,GSE109338
PRJNA390267,"SRX2915111, SRX2915112, SRX2915113, SRX2915114",Tryptic Soy Broth,None,NA,NA,PAO1,Y,GSE99981
PRJNA421309,"SRX3449588, SRX3449589, SRX3449590, SRX3449591, SRX3449592, SRX3449593, SRX3449594, SRX3449595, SRX3449596, SRX3449597, SRX3449598, SRX3449599, SRX3449600, SRX3449601, SRX3449602, SRX3449603, SRX3449604, SRX3449605, SRX3449606, SRX3449607, SRX3449608, SRX3449609, SRX3449610, SRX3449611, SRX3449612, SRX3449613, SRX3449614, SRX3449615, SRX3449616, SRX3449617",M9 Media,None,NA,NA,PAO1,Y,GSE107758
PRJNA296610,"SRX1273291, SRX1273292, SRX1273293, SRX1273294, SRX1273295",Tryptic Soy Broth,None,NA,NA,PAO1,Y,GSE73323
PRJNA312967,"GSM2069953, GSM2069954, GSM2069955, GSM2069956, GSM2069957, GSM2069958, GSM2069959, GSM2069960, GSM2069961, GSM2069962, GSM2069963, GSM2069964",LB,None,NA,NA,PAO1,Y,GSE78230
PRJNA267642,"SRX761422, SRX761423, SRX761424",LB,None,NA,NA,PAO1,Y,GSE63388
PRJNA273742,"SRX853974, SRX853975, SRX853976",LB,None,NA,NA,PAO1,Y,GSE65347
PRJNA283002,"SRX1017131, SRX1017132, SRX1017133, SRX1017134",LB,None,NA,NA,PAO1,Y,GSE68534
PRJNA252740,"SRX597261, SRX597262",Other,None,NA,NA,PAO1,Y,GSE58494
PRJNA252740,"SRX597263, SRX597264, SRX597265, SRX597266, SRX597267, SRX597268, SRX597269, SRX597270, SRX597271, SRX597272",Other,None,NA,NA,PAO1,Y,GSE58494
PRJNA252560,"SRX591664, SRX591665, SRX591666, SRX591667, SRX591668, SRX591669, SRX591670, SRX591671, SRX591672, SRX591673, SRX591674, SRX591675, SRX591676, SRX591677, SRX591678, SRX591679",LB,None,NA,NA,PAO1,Y,GSE58390
PRJNA239877,"SRX480719, SRX480720, SRX480721, SRX480722",LB,None,NA,NA,PAO1,Y,GSE55528
PRJNA414673,"SRX3573043, SRX3573044, SRX3573045, SRX3573046, SRX3573047, SRX3573048",NA,None,NA,NA,PAO1,N,NA
PRJNA428284,"SRX3539736, SRX3539737, SRX3539738, SRX3539739, SRX3539740, SRX3539741, SRX3539742, SRX3539743, SRX3539744, SRX3539745, SRX3539746, SRX3539747",NA,None,NA,NA,PAO1,N,NA
PRJEB25674,"ERX2456848, ERX2456849, ERX2456850, ERX2456851, ERX2456852, ERX2456853, ERX2456854, ERX2456855, ERX2456856, ERX2456857, ERX2456858, ERX2456859",NA,None,NA,NA,PAO1,N,NA
PRJNA504392,"SRX5004141, SRX5004142, SRX5004143, SRX5004144",NA,None,NA,NA,PAO1,N,NA
PRJNA574614,"SRX6923946, SRX6923945, SRX6923944, SRX6923943, SRX6923942, SRX6923941, SRX6923940, SRX6923939, SRX6923938, SRX6923937, SRX6923936, SRX6923935, SRX6923934, SRX6923933, SRX6923932, SRX6923931, SRX6923930, SRX6923929, SRX6923928, SRX6923927, SRX6923926, SRX6923925, SRX6923924, SRX6923923, SRX6923922, SRX6923921, SRX6923920, SRX6923919",NA,None,NA,NA,PAO1,N,NA
PRJNA579575,"SRX7058515, SRX7058514, SRX7058513, SRX7058512, SRX7058511, SRX7058510, SRX7058509, SRX7058508, SRX7058507, SRX7058506, SRX7058505, SRX7058504, SRX7058503, SRX7058502, SRX7058501, SRX7058500, SRX7058499, SRX7058498, SRX7058497, SRX7058496, SRX7058495, SRX7058494, SRX7058493, SRX7058492",NA,None,NA,NA,PAO1,N,NA
PRJNA606809,"SRX7747527, SRX7747528, SRX7747529, SRX7747530, SRX7747531, SRX7747532, SRX7747533, SRX7747534, SRX7747535, SRX7747536, SRX7747537, SRX7747538, SRX7747539, SRX7747540, SRX7747541, SRX7747542, SRX7747543, SRX7747544",NA,None,NA,NA,PAO1,N,NA
PRJNA555685,"SRX6478147, SRX6478148, SRX6478149, SRX6478150, SRX6478151, SRX6478152, SRX6478153, SRX6478154, SRX6478155",NA,None,NA,NA,PAO1,N,NA
PRJNA246577,"SRX540108, SRX540109, SRX540110, SRX540111, SRX540112, SRX540113, SRX540114, SRX540115",NA,None,NA,NA,PAO1,N,NA
PRJNA667949,"SRX9288331, SRX9288332, SRX9288333, SRX9288334, SRX9288335, SRX9288336, SRX9288337, SRX9288338, SRX9288339, SRX9288340, SRX9288341, SRX9288342, SRX9288343, SRX9288344, SRX9288345, SRX9288346, SRX9288347, SRX9288348, SRX9288349, SRX9288350, SRX9288351, SRX9288352, SRX9288353, SRX9288354, SRX9288355","CAM Medium, LB",None,NA,NA,PAO1,N,NA
PRJNA229796,"SRX383855, SRX383860, SRX383861",NA,None,NA,NA,PAO1,N,NA
PRJNA550173,"SRX6352903, SRX6352904, SRX6352905, SRX6352906, SRX6352907, SRX6352908",NA,None,NA,NA,PAO1,N,NA
PRJNA304652,"SRX1491235, SRX1491237, SRX1491239, SRX1491234, SRX1491236, SRX1491238",NA,None,NA,NA,PAO1,N,NA
PRJNA341717,"SRX2159178, SRX2159177, SRX2159176, SRX2159175, SRX2159174, SRX2159173, SRX2159172, SRX2159171, SRX2159170, SRX2159169, SRX2159168, SRX2159167, SRX2159166, SRX2159165, SRX2159164, SRX2159163, SRX2159162, SRX2159161, SRX2159160, SRX2159159, SRX2159158, SRX2159157, SRX2159156, SRX2159155",NA,None,NA,NA,PAO1,N,NA
PRJNA289203,"SRX1118953, SRX1118954, SRX1118955, SRX1118956",NA,None,NA,NA,PAO1,N,NA
PRJNA258237,"SRX681635, SRX681636, SRX681637, SRX682369, SRX682370, SRX682371",NA,None,NA,NA,PAO1,N,NA
PRJNA293013,"SRX1156127, SRX1156135, SRX1156136, SRX1156137, SRX1156138, SRX1156140",ABTGC Medium,None,NA,NA,PAO1,N,NA
PRJNA320966,"SRX1747042, SRX2792486, SRX2792487, SRX2792488, SRX2792489, SRX2792490",NA,None,NA,NA,PAO1,N,NA
PRJNA343201,"SRX2181659, SRX2181660, SRX2181661, SRX2181662, SRX2181663, SRX2181664, SRX2181665, SRX2181666, SRX2181667, SRX2181668, SRX2181669, SRX2181670","Pseudomonas Isolation Agar, Mouse Lung Tissue",None,NA,NA,PAO1,N,NA
PRJEB34578,"ERX3558798, ERX3558799, ERX3558800, ERX3558801, ERX3558802, ERX3558803, ERX3558804, ERX3558805",MOPS,None,NA,NA,PAO1,N,NA
PRJEB34916,"ERX3593017, ERX3593018, ERX3593019, ERX3593020, ERX3593021, ERX3593022",MOPS,None,NA,NA,PAO1,N,NA
PRJNA613827,"SRX8487074, SRX8487075, SRX8487076, SRX8487077, SRX8487078, SRX8487079","LB, Blood (Healthy Volunteers)",None,NA,NA,PAO1,N,NA
PRJEB34518,"ERX3552268, ERX3552267, ERX3552266, ERX3552265, ERX3552264, ERX3552263, ERX3552262, ERX3552261, ERX3552260, ERX3552259, ERX3552258, ERX3552257, ERX3552256, ERX3552255, ERX3552254, ERX3552253, ERX3552252, ERX3552251, ERX3552250, ERX3552249, ERX3552248, ERX3552247, ERX3552246, ERX3552245, ERX3552244, ERX3552243, ERX3552242, ERX3552241, ERX3552240, ERX3552239",Minimal Medium,None,NA,NA,PAO1,N,NA
PRJNA231042,"SRX389601, SRX389604, SRX389605, SRX389627, SRX389628, SRX389629, SRX389626, SRX389682, SRX389684, SRX389685, SRX389686, SRX389688, SRX389683","LB, MOPS, Burn Wound Model, Chronic Wound Model",None,NA,NA,PAO1,N,NA
PRJNA213568,SRX329010,NA,None,NA,NA,PAO1,N,NA
PRJEB8227,"ERX676215, ERX676206, ERX676210, ERX676211, ERX676212, ERX676205, ERX676207, ERX676208, ERX676209, ERX676214, ERX676213, ERX676216",NA,None,NA,NA,PAO1,N,NA
PRJNA169508,"SRX157660, SRX157683, SRX157686, SRX157659, SRX157661, SRX158075","SCFM, LB",None,NA,NA,PAO1,N,NA
PRJNA264943,SRX743702,NA,None,NA,NA,PAO1,N,NA
PRJNA266474,SRX752782,NA,None,NA,NA,PAO1,N,NA
PRJNA400528,"SRX3142369, SRX3142370, SRX3142371, SRX3142372, SRX3142373, SRX3142374",NA,None,NA,NA,PAO1,N,NA
PRJNA392168,"SRX2962079, SRX2962080, SRX2962081, SRX2962082",NA,None,NA,NA,PAO1,N,NA
PRJNA360055,"SRX2662717, SRX2662718, SRX2662719, SRX2662720, SRX2662721, SRX2662722, SRX2662723, SRX2662724, SRX2662725, SRX2662726, SRX2662727, SRX2662728",NA,None,NA,NA,PAO1,N,NA
PRJNA401973,"SRX3166070, SRX3166071, SRX3166072, SRX3166073,",NA,None,NA,NA,PAO1,N,NA
PRJEB24427,"ERX2300159, ERX2300160, ERX2300161, ERX2300162, ERX2300163, ERX2300164, ERX2300165, ERX2300166, ERX2300167, ERX2300168, ERX2300169, ERX2300170",NA,None,NA,NA,PAO1,N,NA
PRJNA393588,SRX2992501,NA,None,NA,NA,PAO1,N,NA
PRJEB22802,"ERX2195929, ERX2195930, ERX2195931, ERX2195932, ERX2195933, ERX2195934",NA,None,NA,NA,PAO1,N,NA
PRJNA530741,"SRX5630345, SRX5630346, SRX5630347, SRX5630348, SRX5630349, SRX5630350, SRX5630351, SRX5630352",LB,None,NA,NA,PAO1,N,NA
