pathway_id_name	pathway_name	num_genes	gene_ids
path:pae00750 : Vitamin B6 metabolism	Vitamin B6 metabolism	9	['PA1049', 'PA5516', 'PA0551', 'PA1375', 'PA3167', 'PA0593', 'PA2212', 'PA0773', 'PA3735']
path:pae00760 : Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	24	['PA0761', 'PA3505', 'PA1004', 'PA4524', 'PA4919', 'PA4376', 'PA3625', 'PA4006', 'PA0935', 'PA1823', 'PA4920', 'PA3618', 'PA2141', 'PA4918', 'PA1125', 'PA1197', 'PA3088', 'PA2991', 'PA0195', 'PA0195.1', 'PA0196', 'PA1602', 'PA1601', 'PA0265']
path:pae00770 : Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	26	['PA2035', 'PA4180', 'PA4696', 'PA1417', 'PA3506', 'PA4695', 'PA4694', 'PA0353', 'PA4729', 'PA1598', 'PA4397', 'PA1752', 'PA4730', 'PA4279', 'PA5320', 'PA0935', 'PA0363', 'PA4529', 'PA4353', 'PA5013', 'PA0440', 'PA0439', 'PA0441', 'PA4731', 'PA1027', 'PA4899']
path:pae00780 : Biotin metabolism	Biotin metabolism	21	['PA0503', 'PA1609', 'PA0098', 'PA2965', 'PA1373', 'PA5524', 'PA1470', 'PA4389', 'PA2967', 'PA4786', 'PA4089', 'PA0182', 'PA1827', 'PA3645', 'PA1806', 'PA0502', 'PA0501', 'PA0420', 'PA0504', 'PA0500', 'PA4280']
path:pae00785 : Lipoic acid metabolism	Lipoic acid metabolism	2	['PA3997', 'PA3996']
path:pae00790 : Folate biosynthesis	Folate biosynthesis	32	['PA3438', 'PA1674', 'PA5539', 'PA3296', 'PA3910', 'PA0582', 'PA4728', 'PA0583', 'PA4750', 'PA0350', 'PA3111', 'PA4047', 'PA4054', 'PA1758', 'PA2964', 'PA3439', 'PA3437', 'PA2666', 'PA0871', 'PA0872', 'PA0975', 'PA0976', 'PA2806', 'PA1505', 'PA3870', 'PA3918', 'PA3916', 'PA3029', 'PA3915', 'PA3914', 'PA3028', 'PA3030']
path:pae00791 : Atrazine degradation	Atrazine degradation	4	['PA0495', 'PA4868', 'PA4867', 'PA4865']
path:pae00860 : Porphyrin metabolism	Porphyrin metabolism	52	['PA3134', 'PA4666', 'PA3977', 'PA4088', 'PA5523', 'PA5243', 'PA5260', 'PA5259', 'PA5034', 'PA0024', 'PA1546', 'PA0661', 'PA4655', 'PA5258', 'PA2611', 'PA1778', 'PA0510', 'PA0515', 'PA0513', 'PA0514', 'PA0512', 'PA0509', 'PA0113', 'PA1321', 'PA0112', 'PA2904', 'PA2906', 'PA2903', 'PA2948', 'PA2947', 'PA2909', 'PA2908', 'PA2907', 'PA2905', 'PA1273', 'PA1923', 'PA2944', 'PA4399', 'PA1272', 'PA1277', 'PA1275', 'PA1276', 'PA1278', 'PA1281', 'PA1279', 'PA1280', 'PA2942', 'PA0672', 'PA4388', 'PA4880', 'PA3531', 'PA4235']
path:pae00900 : Terpenoid backbone biosynthesis	Terpenoid backbone biosynthesis	17	['PA4044', 'PA3650', 'PA3633', 'PA4669', 'PA3627', 'PA3803', 'PA4557', 'PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785', 'PA4019', 'PA4043', 'PA4569', 'PA3652']
path:pae00903 : Limonene and pinene degradation	Limonene and pinene degradation	9	['PA2098', 'PA1027', 'PA4899', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3014', 'PA1737']
path:pae00910 : Nitrogen metabolism	Nitrogen metabolism	34	['PA1783', 'PA3876', 'PA3877', 'PA3875', 'PA3874', 'PA3872', 'PA1174', 'PA1173', 'PA1779', 'PA1781', 'PA1780', 'PA0519', 'PA0524', 'PA0523', 'PA3392', 'PA4202', 'PA0660', 'PA3068', 'PA4588', 'PA0296', 'PA0298', 'PA2040', 'PA5119', 'PA5522', 'PA1566', 'PA3356', 'PA5508', 'PA5036', 'PA5035', 'PA2052', 'PA5173', 'PA2053', 'PA0102', 'PA4676']
path:pae00920 : Sulfur metabolism	Sulfur metabolism	56	['PA1493', 'PA0283', 'PA0282', 'PA0281', 'PA0280', 'PA3938', 'PA3936', 'PA3937', 'PA2310', 'PA3935', 'PA3449', 'PA2595', 'PA2594', 'PA3445', 'PA0186', 'PA2596', 'PA2599', 'PA2309', 'PA2296', 'PA3443', 'PA3448', 'PA0185', 'PA2307', 'PA2295', 'PA3442', 'PA0184', 'PA3447', 'PA2308', 'PA2294', 'PA2356', 'PA3444', 'PA2600', 'PA2598', 'PA2357', 'PA3446', 'PA4442', 'PA4443', 'PA1393', 'PA5175', 'PA1756', 'PA4513', 'PA1838', 'PA4130', 'PA2345', 'PA2566', 'PA1292', 'PA4956', 'PA0589', 'PA3816', 'PA2105', 'PA1061', 'PA2104', 'PA2709', 'PA0390', 'PA3107', 'PA3954']
path:pae00930 : Caprolactam degradation	Caprolactam degradation	10	['PA1525', 'PA2574', 'PA2098', 'PA1631', 'PA1821', 'PA1748', 'PA3426', 'PA1629', 'PA3014', 'PA1737']
path:pae00970 : Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	90	['PA3133.2', 'PA3133.4', 'PA0668.3', 'PA4280.3', 'PA5369.3', 'PA4690.3', 'PA0263.1', 'PA3368.1', 'PA1796.1', 'PA0905.2', 'PA0905.3', 'PA4581.1', 'PA3139.1', 'PA4541.3', 'PA1804.1', 'PA3094.1', 'PA3262.1', 'PA3094.2', 'PA2581.1', 'PA4669.1', 'PA2819.3', 'PA3133.3', 'PA3133.1', 'PA0729.1', 'PA4277.2', 'PA2583.1', 'PA2819.2', 'PA2819.1', 'PA1796.2', 'PA1796.4', 'PA0668.2', 'PA4690.4', 'PA4280.4', 'PA5369.4', 'PA4746.2', 'PA1796.3', 'PA2570.1', 'PA4937.1', 'PA4937.2', 'PA3824.1', 'PA0976.1', 'PA4541.1', 'PA0574.1', 'PA4673.1', 'PA0922.1', 'PA4746.1', 'PA5149.1', 'PA3031.1', 'PA2736.1', 'PA4541.2', 'PA2603.1', 'PA0905.1', 'PA1013.1', 'PA2852.1', 'PA5160.1', 'PA4277.1', 'PA4524.1', 'PA4276.1', 'PA4277.3', 'PA3094.3', 'PA3262.2', 'PA2775.1', 'PA4802.1', 'PA3134', 'PA4483', 'PA4484', 'PA4482', 'PA1794', 'PA0903', 'PA0963', 'PA0009', 'PA0008', 'PA2744', 'PA2612', 'PA4808', 'PA1795', 'PA3482', 'PA0018', 'PA3834', 'PA3987', 'PA4560', 'PA3700', 'PA5051', 'PA0956', 'PA3802', 'PA2740', 'PA2739', 'PA0668', 'PA4138', 'PA4439']
path:pae00997 : Biosynthesis of various other secondary metabolites	Biosynthesis of various other secondary metabolites	4	['PA2254', 'PA2255', 'PA2256', 'PA2257']
path:pae00999 : Biosynthesis of various plant secondary metabolites	Biosynthesis of various plant secondary metabolites	4	['PA0546', 'PA0025', 'PA0244', 'PA1726']
path:pae01040 : Biosynthesis of unsaturated fatty acids	Biosynthesis of unsaturated fatty acids	6	['PA0286', 'PA4888', 'PA4889', 'PA2856', 'PA3942', 'PA5371']
path:pae01053 : Biosynthesis of siderophore group nonribosomal peptides	Biosynthesis of siderophore group nonribosomal peptides	7	['PA4231', 'PA1165', 'PA4230', 'PA4228', 'PA4226', 'PA4225', 'PA4224']
path:pae01100 : Metabolic pathways	Metabolic pathways	0	[]
path:pae01110 : Biosynthesis of secondary metabolites	Biosynthesis of secondary metabolites	0	[]
path:pae01120 : Microbial metabolism in diverse environments	Microbial metabolism in diverse environments	0	[]
path:pae01200 : Carbon metabolism	Carbon metabolism	0	[]
path:pae01210 : 2-Oxocarboxylic acid metabolism	2-Oxocarboxylic acid metabolism	0	[]
path:pae01212 : Fatty acid metabolism	Fatty acid metabolism	0	[]
path:pae01220 : Degradation of aromatic compounds	Degradation of aromatic compounds	0	[]
path:pae01230 : Biosynthesis of amino acids	Biosynthesis of amino acids	0	[]
path:pae01240 : Biosynthesis of cofactors	Biosynthesis of cofactors	0	[]
path:pae01250 : Biosynthesis of nucleotide sugars	Biosynthesis of nucleotide sugars	0	[]
path:pae01501 : beta-Lactam resistance	beta-Lactam resistance	0	[]
path:pae01502 : Vancomycin resistance	Vancomycin resistance	0	[]
path:pae01503 : Cationic antimicrobial peptide (CAMP) resistance	Cationic antimicrobial peptide (CAMP) resistance	0	[]
path:pae02010 : ABC transporters	ABC transporters	208	['PA1493', 'PA0283', 'PA0282', 'PA0281', 'PA0280', 'PA3938', 'PA3936', 'PA3937', 'PA3449', 'PA2595', 'PA2594', 'PA3445', 'PA0186', 'PA2596', 'PA2599', 'PA2309', 'PA2296', 'PA3443', 'PA3448', 'PA0185', 'PA2307', 'PA2295', 'PA3442', 'PA0184', 'PA3447', 'PA2308', 'PA2294', 'PA1863', 'PA1862', 'PA1861', 'PA5217', 'PA4687', 'PA5216', 'PA4688', 'PA3538', 'PA3610', 'PA0323', 'PA0203', 'PA3609', 'PA0324', 'PA0204', 'PA3608', 'PA0325', 'PA0205', 'PA3607', 'PA0206', 'PA0326', 'PA0300', 'PA0301', 'PA1410', 'PA2711', 'PA2592', 'PA0295', 'PA0304', 'PA0303', 'PA0302', 'PA5096', 'PA0030', 'PA5103', 'PA5378', 'PA5388', 'PA3236', 'PA5095', 'PA5377', 'PA5094', 'PA5376', 'PA3889', 'PA3890', 'PA3888', 'PA3891', 'PA2341', 'PA3187', 'PA2338', 'PA2339', 'PA2340', 'PA4453', 'PA4454', 'PA3213', 'PA4455', 'PA3211', 'PA4452', 'PA4456', 'PA3212', 'PA0146', 'PA0137', 'PA0138', 'PA0136', 'PA3190', 'PA3189', 'PA3188', 'PA1946', 'PA1948', 'PA1947', 'PA2548', 'PA5369', 'PA5368', 'PA5367', 'PA5366', 'PA3313', 'PA3383', 'PA3315', 'PA3316', 'PA3382', 'PA3314', 'PA3384', 'PA2925', 'PA2924', 'PA2926', 'PA2923', 'PA1342', 'PA5082', 'PA1340', 'PA1341', 'PA1339', 'PA3858', 'PA0314', 'PA0313', 'PA0888', 'PA3865', 'PA0890', 'PA0889', 'PA0892', 'PA5153', 'PA5154', 'PA5155', 'PA5152', 'PA1260', 'PA1258', 'PA1257', 'PA1256', 'PA1074', 'PA4913', 'PA3364', 'PA1073', 'PA4912', 'PA1072', 'PA4911', 'PA1071', 'PA4910', 'PA1070', 'PA4909', 'PA5505', 'PA3931', 'PA2349', 'PA2351', 'PA5504', 'PA5503', 'PA2350', 'PA4858', 'PA4859', 'PA4860', 'PA4861', 'PA4862', 'PA4496', 'PA4500', 'PA4502', 'PA5317', 'PA4497', 'PA4503', 'PA4504', 'PA4505', 'PA4506', 'PA2058', 'PA1810', 'PA1811', 'PA2059', 'PA1809', 'PA1808', 'PA2060', 'PA2061', 'PA1807', 'PA4159', 'PA4160', 'PA4161', 'PA4158', 'PA4045', 'PA2407', 'PA5498', 'PA2409', 'PA5501', 'PA2408', 'PA5500', 'PA5451', 'PA2678', 'PA5450', 'PA1386', 'PA2986', 'PA2988', 'PA2987', 'PA1478', 'PA1477', 'PA1476', 'PA1475', 'PA3828', 'PA3827', 'PA4461', 'PA3395', 'PA3394', 'PA0375', 'PA0374', 'PA4997', 'PA4143', 'PA3228', 'PA1876', 'PA3406', 'PA1246', 'PA2390', 'PA2397']
path:pae02020 : Two-component system	Two-component system	235	['PA5361', 'PA5360', 'PA3296', 'PA3910', 'PA2548', 'PA5369', 'PA1180', 'PA1179', 'PA2101', 'PA0190', 'PA5199', 'PA5200', 'PA1158', 'PA1157', 'PA3204', 'PA0766', 'PA0464', 'PA0463', 'PA2528', 'PA2527', 'PA2526', 'PA3552', 'PA1438', 'PA2810', 'PA4886', 'PA2524', 'PA1437', 'PA2523', 'PA4885', 'PA2809', 'PA4777', 'PA2480', 'PA4776', 'PA2479', 'PA1092', 'PA1455', 'PA1460', 'PA4954', 'PA1636', 'PA1637', 'PA1633', 'PA1634', 'PA1635', 'PA1632', 'PA0757', 'PA0756', 'PA0752', 'PA2207', 'PA0753', 'PA2208', 'PA0754', 'PA2209', 'PA0112', 'PA0001', 'PA0920', 'PA1798', 'PA1799', 'PA0958', 'PA0189', 'PA2700', 'PA2019', 'PA2018', 'PA0749', 'PA2687', 'PA0930', 'PA0929', 'PA2686', 'PA0931', 'PA2688', 'PA3471', 'PA5262', 'PA5261', 'PA3540', 'PA3878', 'PA3879', 'PA2376', 'PA3875', 'PA3874', 'PA3872', 'PA3873', 'PA1980', 'PA4080', 'PA3714', 'PA2899', 'PA0928', 'PA2586', 'PA0905', 'PA3946', 'PA2583', 'PA3948', 'PA3045', 'PA0034', 'PA3658', 'PA5124', 'PA5125', 'PA0296', 'PA0298', 'PA2040', 'PA5119', 'PA5522', 'PA1566', 'PA3356', 'PA5508', 'PA4726', 'PA2002', 'PA2001', 'PA2553', 'PA3589', 'PA3925', 'PA1736', 'PA4785', 'PA5165', 'PA5512', 'PA5166', 'PA5511', 'PA0119', 'PA1183', 'PA4546', 'PA4547', 'PA4462', 'PA4525', 'PA5484', 'PA5483', 'PA0175', 'PA3348', 'PA0180', 'PA0176', 'PA4310', 'PA4633', 'PA2573', 'PA1930', 'PA1608', 'PA2652', 'PA5072', 'PA1646', 'PA4290', 'PA4915', 'PA1423', 'PA4309', 'PA4307', 'PA2561', 'PA2654', 'PA2920', 'PA4520', 'PA1251', 'PA1561', 'PA0177', 'PA1464', 'PA1463', 'PA0178', 'PA1458', 'PA0179', 'PA1456', 'PA0173', 'PA1459', 'PA3349', 'PA0412', 'PA0411', 'PA0410', 'PA0413', 'PA0408', 'PA0409', 'PA0414', 'PA0415', 'PA3706', 'PA3708', 'PA3707', 'PA3705', 'PA3704', 'PA3703', 'PA3702', 'PA5167', 'PA4616', 'PA0884', 'PA0885', 'PA5168', 'PA5169', 'PA0886', 'PA1097', 'PA1098', 'PA1099', 'PA1336', 'PA1335', 'PA1339', 'PA1340', 'PA1341', 'PA1342', 'PA5082', 'PA1337', 'PA0652', 'PA0275', 'PA1638', 'PA4494', 'PA4493', 'PA4431', 'PA4430', 'PA4429', 'PA0518', 'PA4133', 'PA1554', 'PA1557', 'PA1856', 'PA1553', 'PA1556', 'PA1552.1', 'PA1555.1', 'PA1552', 'PA1555', 'PA3930', 'PA3929', 'PA4974', 'PA4144', 'PA4592', 'PA2978', 'PA3476', 'PA3899', 'PA2050', 'PA0472', 'PA3900', 'PA3409', 'PA2051', 'PA1911', 'PA2094', 'PA2388', 'PA2467', 'PA0150', 'PA0471', 'PA1301', 'PA2824', 'PA1611', 'PA1976', 'PA3345', 'PA3346', 'PA3347', 'PA3351']
path:pae02024 : Quorum sensing	Quorum sensing	96	['PA4944', 'PA1432', 'PA1430', 'PA0609', 'PA1001', 'PA0649', 'PA1002', 'PA0996', 'PA0997', 'PA0998', 'PA0999', 'PA1000', 'PA2587', 'PA1003', 'PA3476', 'PA3477', 'PA3479', 'PA3478', 'PA1130', 'PA1871', 'PA3724', 'PA2570', 'PA2569', 'PA4210', 'PA1899', 'PA4211', 'PA1900', 'PA1750', 'PA1901', 'PA2843', 'PA2943', 'PA4212', 'PA1902', 'PA4213', 'PA1903', 'PA4214', 'PA1904', 'PA4215', 'PA1905', 'PA4216', 'PA4777', 'PA2480', 'PA4776', 'PA2479', 'PA1637', 'PA4804', 'PA0709', 'PA1136', 'PA0602', 'PA0604', 'PA0222', 'PA3250', 'PA4985', 'PA0606', 'PA3253', 'PA0605', 'PA3252', 'PA0603', 'PA3254', 'PA1074', 'PA4913', 'PA3364', 'PA1073', 'PA4912', 'PA1072', 'PA4911', 'PA1071', 'PA4910', 'PA1070', 'PA4909', 'PA1874', 'PA3361', 'PA3299', 'PA3300', 'PA1617', 'PA0652', 'PA0275', 'PA5499', 'PA4047', 'PA4056', 'PA4815', 'PA3320', 'PA4206', 'PA4207', 'PA0427', 'PA5568', 'PA4276', 'PA4747', 'PA4243', 'PA3822', 'PA4403', 'PA0373', 'PA5128', 'PA3746', 'PA0844', 'PA3319']
path:pae02025 : Biofilm formation	Biofilm formation	113	['PA0411', 'PA0410', 'PA0413', 'PA0415', 'PA0409', 'PA0408', 'PA3217', 'PA4969', 'PA0652', 'PA0275', 'PA1097', 'PA1713', 'PA1432', 'PA1430', 'PA3476', 'PA3477', 'PA3479', 'PA3478', 'PA1130', 'PA2570', 'PA2569', 'PA0609', 'PA1001', 'PA0649', 'PA1002', 'PA0996', 'PA0997', 'PA0998', 'PA0999', 'PA1000', 'PA2587', 'PA1003', 'PA0928', 'PA3974', 'PA4856', 'PA2586', 'PA0527.1', 'PA3621.1', 'PA0905', 'PA2824', 'PA1611', 'PA1976', 'PA3345', 'PA3346', 'PA3347', 'PA3351', 'PA1455', 'PA0074', 'PA1670', 'PA0075', 'PA0076', 'PA1669', 'PA2361', 'PA0077', 'PA1667', 'PA2363', 'PA0079', 'PA0081', 'PA0082', 'PA2360', 'PA1657', 'PA0083', 'PA2365', 'PA0084', 'PA2366', 'PA1658', 'PA1512', 'PA2367', 'PA0263', 'PA5267', 'PA0085', 'PA2370', 'PA1661', 'PA0089', 'PA1662', 'PA0090', 'PA2371', 'PA3708', 'PA3704', 'PA3707', 'PA3705', 'PA3703', 'PA3702', 'PA4332', 'PA0169', 'PA1120', 'PA1107', 'PA1727', 'PA4367', 'PA2231', 'PA3551', 'PA2232', 'PA5452', 'PA2233', 'PA2234', 'PA2235', 'PA2236', 'PA2237', 'PA2238', 'PA2239', 'PA2240', 'PA2241', 'PA2242', 'PA3064', 'PA3063', 'PA3062', 'PA3061', 'PA3060', 'PA3059', 'PA3058', 'PA3542', 'PA4959', 'PA4958']
path:pae02030 : Bacterial chemotaxis	Bacterial chemotaxis	48	['PA0180', 'PA0176', 'PA4310', 'PA4633', 'PA2573', 'PA1930', 'PA1608', 'PA2652', 'PA5072', 'PA1646', 'PA4290', 'PA4915', 'PA1423', 'PA4309', 'PA4307', 'PA2561', 'PA2654', 'PA2920', 'PA4520', 'PA1251', 'PA1561', 'PA1946', 'PA4496', 'PA4500', 'PA4502', 'PA5317', 'PA4497', 'PA0178', 'PA1458', 'PA0177', 'PA1464', 'PA1463', 'PA0179', 'PA1456', 'PA1457', 'PA0173', 'PA1459', 'PA3349', 'PA0174', 'PA0175', 'PA3348', 'PA1102', 'PA1443', 'PA1444', 'PA1460', 'PA4954', 'PA1461', 'PA4953']
path:pae02040 : Flagellar assembly	Flagellar assembly	46	['PA1100', 'PA1101', 'PA1102', 'PA1103', 'PA1104', 'PA1105', 'PA1441', 'PA1442', 'PA5233', 'PA1443', 'PA1444', 'PA1445', 'PA1446', 'PA1447', 'PA1448', 'PA1452', 'PA1449', 'PA3350', 'PA1077', 'PA1078', 'PA1079', 'PA1080', 'PA1081', 'PA1082', 'PA1083', 'PA1084', 'PA1085', 'PA1086', 'PA1087', 'PA3526', 'PA1092', 'PA1094', 'PA1095', 'PA1096', 'PA1460', 'PA4954', 'PA1461', 'PA4953', 'PA3351', 'PA3352', 'PA0314', 'PA0576', 'PA1097', 'PA4462', 'PA1099', 'PA1455']
path:pae02060 : Phosphotransferase system (PTS)	Phosphotransferase system (PTS)	8	['PA4466', 'PA3761', 'PA3562', 'PA3760', 'PA3560', 'PA3561', 'PA0337', 'PA4464']
path:pae03010 : Ribosome	Ribosome	68	['PA3162', 'PA3656', 'PA4257', 'PA4239', 'PA4246', 'PA4935', 'PA4267', 'PA4249', 'PA4432', 'PA4264', 'PA4240', 'PA4268', 'PA4241', 'PA4250', 'PA4741', 'PA3745', 'PA4254', 'PA4934', 'PA4259', 'PA4563', 'PA0579', 'PA4273', 'PA4260', 'PA4263', 'PA4262', 'PA4251', 'PA4248', 'PA4271', 'PA4932', 'PA4272', 'PA4274', 'PA4433', 'PA4253', 'PA4244', 'PA4256', 'PA4237', 'PA4247', 'PA3742', 'PA2741', 'PA4568', 'PA4258', 'PA4261', 'PA4252', 'PA4671', 'PA4567', 'PA5316', 'PA4255', 'PA4245', 'PA3601', 'PA5049', 'PA2970', 'PA5315', 'PA5570', 'PA2742', 'PA3600', 'PA4242', 'PA0668.1', 'PA4280.5', 'PA4690.5', 'PA5369.5', 'PA4690.2', 'PA5369.2', 'PA0668.4', 'PA4280.2', 'PA0668.5', 'PA5369.1', 'PA4280.1', 'PA4690.1']
path:pae03018 : RNA degradation	RNA degradation	18	['PA0336', 'PA2976', 'PA3861', 'PA3635', 'PA4740', 'PA0428', 'PA3950', 'PA4937', 'PA2840', 'PA3344', 'PA5239', 'PA4761', 'PA4385', 'PA4944', 'PA5242', 'PA2428', 'PA0141', 'PA4727']
path:pae03020 : RNA polymerase	RNA polymerase	4	['PA4270', 'PA4269', 'PA4238', 'PA5337']
path:pae03030 : DNA replication	DNA replication	15	['PA1816', 'PA3232', 'PA3640', 'PA1532', 'PA2961', 'PA3989', 'PA3832', 'PA0002', 'PA4931', 'PA0577', 'PA4232', 'PA1815', 'PA3642', 'PA5493', 'PA1529']
path:pae03060 : Protein export	Protein export	18	['PA4243', 'PA4276', 'PA4747', 'PA3821', 'PA3820', 'PA3822', 'PA5568', 'PA4403', 'PA5128', 'PA3746', 'PA1530.1', 'PA0373', 'PA5068', 'PA5069', 'PA5070', 'PA0768', 'PA1303', 'PA4559']
path:pae03070 : Bacterial secretion system	Bacterial secretion system	94	['PA4974', 'PA4144', 'PA4592', 'PA1719', 'PA1696', 'PA1695', 'PA1701', 'PA1716', 'PA1698', 'PA1723', 'PA1693', 'PA1692', 'PA1691', 'PA1690', 'PA1703', 'PA1697', 'PA1694', 'PA1725', 'PA1868', 'PA3105', 'PA1382', 'PA0685', 'PA1867', 'PA3104', 'PA0679', 'PA0687', 'PA2676', 'PA3102', 'PA0681', 'PA2675', 'PA3101', 'PA2674', 'PA3100', 'PA0678', 'PA0680', 'PA3099', 'PA2673', 'PA3098', 'PA0677', 'PA2672', 'PA0682', 'PA3097', 'PA0683', 'PA3096', 'PA0684', 'PA3095', 'PA2677', 'PA3103', 'PA5210', 'PA0686', 'PA3821', 'PA3820', 'PA4276', 'PA4747', 'PA4243', 'PA3822', 'PA5568', 'PA4403', 'PA0373', 'PA5128', 'PA3746', 'PA5068', 'PA5069', 'PA5070', 'PA0262', 'PA3294', 'PA3486', 'PA1511', 'PA5266', 'PA2685', 'PA0095', 'PA0091', 'PA2373', 'PA5090', 'PA1512', 'PA2367', 'PA0263', 'PA5267', 'PA0085', 'PA0080', 'PA1666', 'PA1669', 'PA2361', 'PA0077', 'PA1668', 'PA2362', 'PA0078', 'PA1662', 'PA0090', 'PA2371', 'PA0074', 'PA0081', 'PA1670', 'PA0075']
path:pae03410 : Base excision repair	Base excision repair	13	['PA0357', 'PA3495', 'PA1686', 'PA0010', 'PA0750', 'PA5147', 'PA4010', 'PA2545', 'PA5332', 'PA4172', 'PA5493', 'PA3725', 'PA1529']
path:pae03420 : Nucleotide excision repair	Nucleotide excision repair	8	['PA3002', 'PA4234', 'PA3138', 'PA2585', 'PA5443', 'PA5493', 'PA1529', 'PA1866']
path:pae03430 : Mismatch repair	Mismatch repair	17	['PA3620', 'PA4946', 'PA5443', 'PA4316', 'PA3777', 'PA4042', 'PA3725', 'PA4232', 'PA3640', 'PA0002', 'PA1532', 'PA3989', 'PA2961', 'PA1816', 'PA3232', 'PA3832', 'PA1529']
path:pae03440 : Homologous recombination	Homologous recombination	23	['PA3725', 'PA4232', 'PA0003', 'PA0772', 'PA1534', 'PA3617', 'PA5493', 'PA0966', 'PA0967', 'PA0965', 'PA5345', 'PA4284', 'PA4285', 'PA4283', 'PA3640', 'PA0002', 'PA1532', 'PA3989', 'PA2961', 'PA1816', 'PA3232', 'PA3832', 'PA5050']
path:pae03450 : Non-homologous end-joining	Non-homologous end-joining	2	['PA2150', 'PA2138']
path:pae04122 : Sulfur relay system	Sulfur relay system	23	['PA3814', 'PA2062', 'PA1292', 'PA4956', 'PA1564', 'PA1006', 'PA2607', 'PA2606', 'PA2605', 'PA2608', 'PA2626', 'PA3916', 'PA1505', 'PA3870', 'PA3917', 'PA1355', 'PA4663', 'PA2103', 'PA3918', 'PA3029', 'PA3915', 'PA5118', 'PA0380']
